"gene_id"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"auc"
"1"	"ENSG00000134516.18"	118.496662595783	1.09414525368233	0.176074973963397	6.21408726665372	5.16238337606452e-10	3.04096645746301e-07	0.939130434782609
"2"	"ENSG00000107099.17"	113.268860118439	0.787407877206298	0.123460262688024	6.37782441137378	1.79621279481797e-10	1.22493308639021e-07	0.934782608695652
"3"	"ENSG00000174231.17"	102.240336759812	0.696226448716676	0.125506730205742	5.54732361822637	2.90075544135397e-08	6.22173626013941e-06	0.919565217391304
"4"	"ENSG00000166501.14"	522.341781403525	-1.19911635036689	0.178113442154515	-6.73231809942029	1.66981078476245e-11	1.65662806804064e-08	0.91304347826087
"5"	"ENSG00000204472.13"	172.453717432933	1.35706306920611	0.241590989729673	5.61719239084451	1.94085278157573e-08	4.81382564903982e-06	0.910869565217391
"6"	"ENSG00000173821.19"	282.366674608881	1.20192105181283	0.199210568684572	6.0334201129456	1.60525365432643e-09	7.56116251608806e-07	0.910869565217391
"7"	"ENSG00000103653.17"	117.934853856932	0.728062165768918	0.127636304455225	5.70419340231151	1.16895293264919e-08	3.33860042127837e-06	0.908695652173913
"8"	"ENSG00000198771.11"	131.943731875166	0.913586914685255	0.169712679845093	5.38313881743626	7.31980428214639e-08	1.24439468654555e-05	0.9
"9"	"ENSG00000072786.13"	173.404272372094	0.975196025404937	0.191612853228017	5.08940819457694	3.59182696760513e-07	3.32045656065412e-05	0.9
"10"	"ENSG00000102879.16"	207.129149443485	1.00905670041029	0.195383585508546	5.16449064942642	2.41094528092659e-07	2.61185738767047e-05	0.897826086956522
"11"	"ENSG00000099331.14"	139.169838393264	0.680246546415251	0.128567609243248	5.29096364488069	1.21673553192182e-07	1.72447103584408e-05	0.895652173913043
"12"	"ENSG00000125347.15"	110.212141155331	1.23902916947361	0.239141184449647	5.18116179914837	2.20508109622596e-07	2.48896878226702e-05	0.893478260869565
"13"	"ENSG00000105372.8"	302.194643610356	0.954053798593616	0.185320349707869	5.14813294976805	2.63091998940094e-07	2.78611470787684e-05	0.891304347826087
"14"	"ENSG00000140105.18"	146.710237717708	1.55126956488689	0.252871507319944	6.1346158819078	8.53652001933102e-10	4.59752578183971e-07	0.889130434782609
"15"	"ENSG00000184640.20"	245.015856510758	1.01014908634714	0.197304548008348	5.11974557375333	3.05948134062162e-07	3.019435773336e-05	0.889130434782609
"16"	"ENSG00000108107.15"	635.659842690259	1.03182077328613	0.20538499159128	5.02383725944043	5.06491600596699e-07	4.22449852710078e-05	0.88695652173913
"17"	"ENSG00000169813.17"	142.67994244377	0.760891719720737	0.149507531489197	5.08932033150261	3.59349145025698e-07	3.32045656065412e-05	0.880434782608696
"18"	"ENSG00000160710.18"	235.019305385242	0.854201833391736	0.177048924141851	4.82466548459427	1.40238438237276e-06	8.10887902077501e-05	0.878260869565217
"19"	"ENSG00000204469.13"	117.146500800694	0.746247463088662	0.158803973186167	4.69917375564547	2.61216143548974e-06	0.000122791129822897	0.878260869565217
"20"	"ENSG00000106948.17"	192.496436880997	1.05249561803125	0.222953793833297	4.72068943046649	2.3504659169742e-06	0.000115081253337568	0.878260869565217
"21"	"ENSG00000087365.16"	133.255720485482	0.660494395310853	0.138740527450051	4.7606449784375	1.92975250947597e-06	0.00010006610203352	0.878260869565217
"22"	"ENSG00000115268.10"	250.84660461669	1.10584711255331	0.225954119829886	4.89412237044348	9.87453854645614e-07	6.55574375803628e-05	0.878260869565217
"23"	"ENSG00000124942.14"	484.348185098162	1.10306772162705	0.229002201887971	4.81684329902938	1.45847134833011e-06	8.30579604713675e-05	0.876086956521739
"24"	"ENSG00000186635.15"	105.619483008253	0.787533172727704	0.152378658455474	5.16826424848613	2.36278085134282e-07	2.58944296789606e-05	0.876086956521739
"25"	"ENSG00000198160.15"	113.242554865468	-0.929319865686564	0.149158944276198	-6.23039986100826	4.6524614117204e-10	2.82899669712676e-07	0.873913043478261
"26"	"ENSG00000186517.14"	260.111146945035	0.874041026779853	0.180094418064927	4.85323774146486	1.21461934447372e-06	7.38566923978377e-05	0.871739130434783
"27"	"ENSG00000109971.14"	360.029571056993	1.04418708428518	0.201529804170706	5.18130352273207	2.20340604848924e-07	2.48896878226702e-05	0.871739130434783
"28"	"ENSG00000173193.15"	110.964707647692	0.838993757485697	0.176634829742145	4.74987723944636	2.03540169543127e-06	0.000104259027062172	0.867391304347826
"29"	"ENSG00000096384.20"	293.410289417862	0.903415516940138	0.182643360892397	4.946336469752	7.56232000886685e-07	5.57798838054732e-05	0.867391304347826
"30"	"ENSG00000147526.20"	116.066326766994	-0.65608009568707	0.146452035077274	-4.47982914911969	7.47028103467146e-06	0.000253368163073755	0.867391304347826
"31"	"ENSG00000167658.16"	772.937029037128	1.07919260563772	0.204935784731211	5.266003724304	1.39425456582503e-07	1.89076968099294e-05	0.867391304347826
"32"	"ENSG00000221983.8"	204.381835783424	0.798169447623862	0.158831068509027	5.02527279528121	5.0271742164256e-07	4.21165484353878e-05	0.867391304347826
"33"	"ENSG00000112531.17"	114.539665198833	-0.526218466163375	0.123640845141603	-4.25602450032359	2.08093913561815e-05	0.000527936779359383	0.865217391304348
"34"	"ENSG00000105193.9"	204.518210416705	1.00845091468442	0.213232983757883	4.72933828956531	2.25252787055223e-06	0.000111443964199238	0.865217391304348
"35"	"ENSG00000170889.14"	219.827011930113	1.00967716610418	0.225002872262488	4.4873967872121	7.20987211231333e-06	0.000249885605137845	0.865217391304348
