value
auc	0.992750621375311
youden	0.443653138759043
Sensitivity	0.970588235294118
Specificity	0.957746478873239
Pos Pred Value	0.956521739130435
Neg Pred Value	0.971428571428572
Precision	0.956521739130435
Recall	0.970588235294118
F1	0.963503649635037
Prevalence	0.489208633093525
Detection Rate	0.474820143884892
Detection Prevalence	0.496402877697842
Balanced Accuracy	0.964167357083679
Accuracy	0.964028776978417
Kappa	0.928046381613003
AccuracyLower	0.918053018849912
AccuracyUpper	0.988218879375677
AccuracyNull	0.510791366906475
AccuracyPValue	9.40584323055704e-33
McnemarPValue	1
