value
auc	0.940832049306626
youden	0.271071499877523
Sensitivity	0.890909090909091
Specificity	0.898305084745763
Pos Pred Value	0.890909090909091
Neg Pred Value	0.898305084745763
Precision	0.890909090909091
Recall	0.890909090909091
F1	0.890909090909091
Prevalence	0.482456140350877
Detection Rate	0.429824561403509
Detection Prevalence	0.482456140350877
Balanced Accuracy	0.894607087827427
Accuracy	0.894736842105263
Kappa	0.789214175654854
AccuracyLower	0.823344682993338
AccuracyUpper	0.944413725575258
AccuracyNull	0.517543859649123
AccuracyPValue	6.66000752924353e-18
McnemarPValue	1
