"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_auc"
"ENSG00000225972.1",35.210303630053,1.98378358122792,0.592424671459559,3.34858367113656,0.000812257505704579,0.00469045567145066,0.570416024653313
"ENSG00000237491.10",0.549513287550105,1.61215397797937,0.604544353300571,2.66672572355966,0.0076594152181096,0.0266319799788241,0.563328197226502
"ENSG00000228794.10",5.06692135876625,0.52199384558201,0.193462934116419,2.69815945863765,0.00697240338062523,0.0246657837199743,0.628813559322034
"ENSG00000288531.1",0.263839729293836,1.33109260417502,0.557671880621885,2.38687416459058,0.016992306325284,0.0482425248545421,0.521417565485362
"ENSG00000223764.2",0.539785109980705,2.72593409994183,0.889819446618455,3.06346878605664,0.00218787028153018,0.010220835356322,0.566563944530046
"ENSG00000187634.13",0.771274187867936,1.93608387944484,0.539523491942167,3.58850709628113,0.000332576942658619,0.00227647830397071,0.548690292758089
"ENSG00000187583.11",3.10426781394269,1.04993224821315,0.392748684575832,2.67329284462677,0.00751106501825453,0.0261974610335865,0.581972265023113
"ENSG00000188290.11",1.22561079437689,-1.06132544407768,0.3800419092577,-2.79265370008972,0.00522776251432881,0.0199165435227167,0.707858243451464
"ENSG00000127054.21",18.4606220404734,-0.444715466716341,0.124332332821744,-3.57682878317687,0.000347787807116577,0.002362070133833,0.693220338983051
"ENSG00000215915.10",1.40310521124196,1.66046541051538,0.430147736781848,3.86022119502047,0.000113284430827557,0.00097087167526255,0.436979969183359
"ENSG00000272106.1",1.16700733021076,0.969286870174273,0.37630012163818,2.57583459169397,0.00999984707060385,0.0325118329002691,0.443759630200308
"ENSG00000197530.13",6.2812563867495,-0.534277447575214,0.175480385276,-3.04465622602143,0.00232946410441579,0.01071504377755,0.679198767334361
"ENSG00000142609.19",1.61871273954217,1.57524206637543,0.468772984482646,3.3603516382539,0.0007784332675765,0.00452507544664474,0.615408320493066
"ENSG00000271806.1",0.541413110851295,2.21021610599149,0.795058525440617,2.77994139458677,0.00543687094350457,0.0205083064461658,0.598151001540832
"ENSG00000287356.1",0.37502255819432,1.69954586611154,0.70698067655496,2.40394953139772,0.0162190122486569,0.046659026775722,0.55346687211094
"ENSG00000116151.14",1.88529263100662,0.818606671290112,0.319953866202238,2.55851470403137,0.0105120374444457,0.0337328305393402,0.523574730354391
"ENSG00000157873.18",27.440286660413,-0.343756263668853,0.11371182949792,-3.02304751569529,0.00250242948094423,0.0113530772257983,0.66502311248074
"ENSG00000284745.1",0.336715614289778,2.22381684332137,0.78825185514935,2.82120090018694,0.00478442298438828,0.0186046456546954,0.59075500770416
"ENSG00000177133.12",0.408773774455106,2.49227363208902,0.729039764045542,3.41857022758135,0.000629510704842134,0.00381524288754091,0.621263482280431
"ENSG00000142611.17",1.93023175903349,0.835391182375798,0.351228833637264,2.37848121330084,0.0173841227362512,0.0490517406488337,0.601694915254237
"ENSG00000272235.1",0.646822721035521,2.62574892947596,0.754711715140101,3.47914160705525,0.000503022704694098,0.00319053566775529,0.606009244992296
"ENSG00000130762.15",0.564909063293437,1.81995018875105,0.606845665706992,2.99903301876724,0.00270837953446893,0.0120391838661232,0.568567026194145
"ENSG00000158109.15",23.8135174707869,0.515518847842604,0.11370368633814,4.53387981027736,5.7909989411114e-06,8.59036454822542e-05,0.715870570107858
"ENSG00000078900.15",1.5118229359274,0.969144646960325,0.392603030237331,2.4685103586044,0.0135676725166003,0.040802756929661,0.561941448382126
"ENSG00000162592.10",0.292911389499704,2.46665991377719,0.9070943455633,2.71929808166251,0.00654206235526897,0.0235280599705566,0.597534668721109
"ENSG00000235169.11",4.6562930846057,0.742453085244355,0.262887008783334,2.82422889088547,0.00473945250948258,0.0184664168594646,0.640061633281972
"ENSG00000232596.3",0.540659834472426,2.46853977734521,0.759645300056765,3.24959527447974,0.00115569358045352,0.00616762521880024,0.590138674884438
"ENSG00000196581.11",1.82559827922233,2.27949459290652,0.432763149635358,5.26730289958191,1.38442674438363e-07,4.06357186339149e-06,0.695531587057011
"ENSG00000116254.18",1.28185546063632,3.23957804341,0.506679673534065,6.39373989647959,1.61876702331246e-10,1.61905268214808e-08,0.71386748844376
"ENSG00000116237.16",6.78572523246112,0.462499460014251,0.134760054759179,3.43202190620029,0.000599099163898842,0.00367425333233519,0.620493066255778
"ENSG00000171680.23",2.14761323262033,1.14397420969179,0.333558612167521,3.42960477697774,0.000604461002936018,0.00369507307468383,0.624653312788906
"ENSG00000049246.15",6.77723898599367,0.484271395531248,0.168651384028854,2.87143445824551,0.0040861350659444,0.0165506170013237,0.588597842835131
"ENSG00000238290.1",0.507678829062065,2.33302514459899,0.652880928703981,3.57343129815451,0.000352333715843155,0.00238675325956157,0.602773497688752
"ENSG00000200975.1",0.929422506517795,2.49869625553005,0.788913233073828,3.16726371263216,0.00153880705067411,0.00773153832292259,0.582742681047766
"ENSG00000142583.18",15.5330239504189,0.894154981793329,0.238373502711774,3.75106700879621,0.000176083628522438,0.00138283712757216,0.694298921417565
"ENSG00000228526.7",0.781499472019147,2.13727913307041,0.528770745127278,4.04197689218975,5.30024568412432e-05,0.000522088158396324,0.629583975346687
"ENSG00000284693.1",0.623816231366917,1.26717140045444,0.524675710064324,2.41515163775943,0.0157286600658742,0.045589259143664,0.572573189522342
"ENSG00000171608.16",105.219825789619,-0.30264324917364,0.096496942965046,-3.13629882848482,0.00171094772186756,0.00839663228752325,0.702003081664099
"ENSG00000179840.5",1.09481499367214,1.14945943888209,0.356334519615246,3.22578749912645,0.00125626592621747,0.00657699549694579,0.449306625577812
