value
auc	0.973497688751926
youden	0.5
Sensitivity	0.836363636363636
Specificity	0.983050847457627
Pos Pred Value	0.978723404255319
Neg Pred Value	0.865671641791045
Precision	0.978723404255319
Recall	0.836363636363636
F1	0.901960784313726
Prevalence	0.482456140350877
Detection Rate	0.403508771929825
Detection Prevalence	0.412280701754386
Balanced Accuracy	0.909707241910632
Accuracy	0.912280701754386
Kappa	0.823474759987612
AccuracyLower	0.84459420692991
AccuracyUpper	0.957130857969313
AccuracyNull	0.517543859649123
AccuracyPValue	9.20824493609615e-20
McnemarPValue	0.0268566955075243
