value
auc	0.969222743870631
youden	0.645852637914521
Sensitivity	0.957746478873239
Specificity	0.851851851851852
Pos Pred Value	0.944444444444444
Neg Pred Value	0.884615384615384
Precision	0.944444444444444
Recall	0.957746478873239
F1	0.951048951048951
Prevalence	0.724489795918367
Detection Rate	0.693877551020408
Detection Prevalence	0.73469387755102
Balanced Accuracy	0.904799165362546
Accuracy	0.928571428571429
Kappa	0.818997361477573
AccuracyLower	0.858354753010355
AccuracyUpper	0.970801020359172
AccuracyNull	0.724489795918367
AccuracyPValue	3.78489045274096e-07
McnemarPValue	1
