value
auc	0.975963020030817
youden	1.0737184880908e-07
Sensitivity	0.963636363636364
Specificity	0.898305084745763
Pos Pred Value	0.898305084745763
Neg Pred Value	0.963636363636364
Precision	0.898305084745763
Recall	0.963636363636364
F1	0.929824561403509
Prevalence	0.482456140350877
Detection Rate	0.464912280701754
Detection Prevalence	0.517543859649123
Balanced Accuracy	0.930970724191063
Accuracy	0.929824561403509
Kappa	0.859821703043344
AccuracyLower	0.866404367914231
AccuracyUpper	0.969218014221471
AccuracyNull	0.517543859649123
AccuracyPValue	8.36705337185378e-22
McnemarPValue	0.288844366346485
