value
auc	0.971956856702619
youden	0.420295291041167
Sensitivity	0.963636363636364
Specificity	0.88135593220339
Pos Pred Value	0.883333333333333
Neg Pred Value	0.962962962962963
Precision	0.883333333333333
Recall	0.963636363636364
F1	0.921739130434783
Prevalence	0.482456140350877
Detection Rate	0.464912280701754
Detection Prevalence	0.526315789473684
Balanced Accuracy	0.922496147919877
Accuracy	0.921052631578947
Kappa	0.842396313364055
AccuracyLower	0.855419878059321
AccuracyUpper	0.963264693298819
AccuracyNull	0.517543859649123
AccuracyPValue	9.29467689634134e-21
McnemarPValue	0.182422439451736
